"balise","direction","station","track","type","master"
10623,1,Pasila asema,11,DEPARTURE,false
10061,1,Pasila asema,11,DEPARTURE,false
11730,2,Pitäjänmäki,3,ARRIVAL,true
11426,1,Pitäjänmäki,3,DEPARTURE,true
11126,1,Pitäjänmäki,3,DEPARTURE,false
11623,2,Pitäjänmäki,3,DEPARTURE,false
11622,1,Pitäjänmäki,4,ARRIVAL,true
11128,2,Pitäjänmäki,4,ARRIVAL,false
11809,1,Pitäjänmäki,4,DEPARTURE,true
11892,2,Pohjois-Haaga,1,ARRIVAL,true
11016,2,Pohjois-Haaga,1,ARRIVAL,false
11640,2,Pohjois-Haaga,1,ARRIVAL,false
11794,1,Pohjois-Haaga,1,DEPARTURE,true
11019,1,Pohjois-Haaga,1,DEPARTURE,false
11795,2,Pohjois-Haaga,2,ARRIVAL,true
11017,2,Pohjois-Haaga,2,ARRIVAL,false
11898,1,Pohjois-Haaga,2,DEPARTURE,true
11014,1,Pohjois-Haaga,2,DEPARTURE,false
11642,1,Pohjois-Haaga,2,DEPARTURE,false
13746,2,Puistola,3,ARRIVAL,true
13205,1,Puistola,3,ARRIVAL,false
13753,1,Puistola,3,DEPARTURE,true
13763,1,Puistola,3,DEPARTURE,false
13204,2,Puistola,3,DEPARTURE,false
13755,2,Puistola,4,ARRIVAL,true
13206,1,Puistola,4,ARRIVAL,false
13761,2,Puistola,4,ARRIVAL,false
13748,1,Puistola,4,DEPARTURE,true
13207,2,Puistola,4,DEPARTURE,false
13130,1,Puistola,4,DEPARTURE,false
13718,2,Pukinmäki,3,ARRIVAL,true
13818,2,Pukinmäki,3,ARRIVAL,false
13105,1,Pukinmäki,3,ARRIVAL,false
13725,1,Pukinmäki,3,DEPARTURE,true
13113,1,Pukinmäki,3,DEPARTURE,false
13104,2,Pukinmäki,3,DEPARTURE,false
13727,2,Pukinmäki,4,ARRIVAL,true
13115,2,Pukinmäki,4,ARRIVAL,false
13106,1,Pukinmäki,4,ARRIVAL,false
13720,1,Pukinmäki,4,DEPARTURE,true
13820,1,Pukinmäki,4,DEPARTURE,false
13107,2,Pukinmäki,4,DEPARTURE,false
13794,2,Rekola,3,ARRIVAL,true
19005,1,Rekola,3,DEPARTURE,true
9904,2,Rekola,3,DEPARTURE,false
19004,2,Rekola,3,DEPARTURE,false
19407,2,Rekola,4,ARRIVAL,true
19007,2,Rekola,4,ARRIVAL,false
19006,1,Rekola,4,ARRIVAL,false
13796,1,Rekola,4,DEPARTURE,true
18503,1,Savio,3,ARRIVAL,true
18704,2,Savio,3,ARRIVAL,false
18521,1,Savio,3,ARRIVAL,false
18013,1,Savio,3,DEPARTURE,true
18012,2,Savio,3,DEPARTURE,false
18712,2,Savio,3,DEPARTURE,false
18015,2,Savio,4,ARRIVAL,true
18714,1,Savio,4,ARRIVAL,false
18014,1,Savio,4,ARRIVAL,false
18505,2,Savio,4,DEPARTURE,true
18523,2,Savio,4,DEPARTURE,false
18706,1,Savio,4,DEPARTURE,false
12008,2,Siuntio,2,ARRIVAL,true
12514,2,Siuntio,2,ARRIVAL,false
12660,2,Siuntio,2,ARRIVAL,false
12008,1,Siuntio,2,DEPARTURE,true
12514,1,Siuntio,2,DEPARTURE,false
12660,1,Siuntio,2,DEPARTURE,false
13734,2,Tapanila,3,ARRIVAL,true
13120,2,Tapanila,3,ARRIVAL,false
9558,2,Tapanila,3,ARRIVAL,false
13129,1,Tapanila,3,DEPARTURE,true
13503,1,Tapanila,3,DEPARTURE,false
13128,2,Tapanila,3,DEPARTURE,false
13822,1,Tapanila,4,ARRIVAL,true
13505,2,Tapanila,4,ARRIVAL,false
13131,2,Tapanila,4,ARRIVAL,false
13736,1,Tapanila,4,DEPARTURE,true
