"balise","direction","station","track","type","train_direction"
11734,2,Huopalahti,2,ARRIVAL,2
11012,1,Huopalahti,2,DEPARTURE,2
10516,1,Huopalahti,2,DEPARTURE,2
10716,1,Huopalahti,2,DEPARTURE,2
11022,2,Huopalahti,3,ARRIVAL,1
10718,2,Huopalahti,3,ARRIVAL,1
10518,2,Huopalahti,3,ARRIVAL,1
11013,1,Huopalahti,3,DEPARTURE,1
11614,2,Huopalahti,3,DEPARTURE,1
11735,1,Huopalahti,3,DEPARTURE,1
11013,2,Huopalahti,3,ARRIVAL,2
11614,1,Huopalahti,3,ARRIVAL,2
11735,2,Huopalahti,3,ARRIVAL,2
11022,1,Huopalahti,3,DEPARTURE,2
10718,1,Huopalahti,3,DEPARTURE,2
10518,1,Huopalahti,3,DEPARTURE,2
11424,2,Huopalahti,4,ARRIVAL,1
10520,2,Huopalahti,4,ARRIVAL,1
11024,2,Huopalahti,4,ARRIVAL,1
11015,1,Huopalahti,4,DEPARTURE,1
11541,1,Huopalahti,4,DEPARTURE,1
11028,2,Huopalahti,4,DEPARTURE,1
11015,2,Huopalahti,4,ARRIVAL,2
11541,2,Huopalahti,4,ARRIVAL,2
11028,1,Huopalahti,4,ARRIVAL,2
11424,1,Huopalahti,4,DEPARTURE,2
10520,1,Huopalahti,4,DEPARTURE,2
11024,1,Huopalahti,4,DEPARTURE,2
10026,2,Ilmala asema,3,ARRIVAL,1
10630,2,Ilmala asema,3,ARRIVAL,1
10329,1,Ilmala asema,3,ARRIVAL,1
10129,1,Ilmala asema,3,DEPARTURE,1
10696,2,Ilmala asema,3,DEPARTURE,1
10129,2,Ilmala asema,3,ARRIVAL,2
10696,1,Ilmala asema,3,ARRIVAL,2
10026,1,Ilmala asema,3,DEPARTURE,2
10630,1,Ilmala asema,3,DEPARTURE,2
10329,2,Ilmala asema,3,DEPARTURE,2
10028,2,Ilmala asema,4,ARRIVAL,1
10622,2,Ilmala asema,4,ARRIVAL,1
10728,2,Ilmala asema,4,ARRIVAL,1
10131,1,Ilmala asema,4,DEPARTURE,1
10632,2,Ilmala asema,4,DEPARTURE,1
10698,2,Ilmala asema,4,DEPARTURE,1
10131,2,Ilmala asema,4,ARRIVAL,2
10632,1,Ilmala asema,4,ARRIVAL,2
10698,1,Ilmala asema,4,ARRIVAL,2
10028,1,Ilmala asema,4,DEPARTURE,2
10622,1,Ilmala asema,4,DEPARTURE,2
11896,2,Jorvas,1,ARRIVAL,1
11101,1,Jorvas,1,ARRIVAL,1
11096,2,Jorvas,1,ARRIVAL,1
11868,2,Jorvas,1,DEPARTURE,1
11105,1,Jorvas,1,DEPARTURE,1
11868,1,Jorvas,1,ARRIVAL,2
11105,2,Jorvas,1,ARRIVAL,2
11896,1,Jorvas,1,DEPARTURE,2
11096,1,Jorvas,1,DEPARTURE,2
11101,2,Jorvas,1,DEPARTURE,2
11098,2,Jorvas,2,ARRIVAL,1
11871,1,Jorvas,2,ARRIVAL,1
11103,1,Jorvas,2,ARRIVAL,1
11870,2,Jorvas,2,DEPARTURE,1
11107,1,Jorvas,2,DEPARTURE,1
11870,1,Jorvas,2,ARRIVAL,2
11107,2,Jorvas,2,ARRIVAL,2
11098,1,Jorvas,2,DEPARTURE,2
11871,2,Jorvas,2,DEPARTURE,2
11103,2,Jorvas,2,DEPARTURE,2
11601,1,Kannelmäki,1,ARRIVAL,1
